`item_nr,stimulus_untrimmed,stimulus,flanker_type,lexicality,condition,target
475,veul veul veul,veul veul veul,related,nonword,nonword/related,veul
476, chud ,chud,no,nonword,nonword/no,chud
477,coui coui coui,coui coui coui,related,nonword,nonword/related,coui
478,jive nour jive,jive nour jive,unrelated,nonword,nonword/unrelated,nour
479, ique ,ique,no,nonword,nonword/no,ique
480,anue anue anue,anue anue anue,related,nonword,nonword/related,anue
481,varc varc varc,varc varc varc,related,nonword,nonword/related,varc
482, nire ,nire,no,nonword,nonword/no,nire
483,haid jore haid,haid jore haid,unrelated,nonword,nonword/unrelated,jore
484,pipi case pipi,pipi case pipi,unrelated,word,word/unrelated,case
485,plie plie plie,plie plie plie,related,word,word/related,plie
486,oste oste oste,oste oste oste,related,nonword,nonword/related,oste
487,spui tade spui,spui tade spui,unrelated,nonword,nonword/unrelated,tade
488,daps gric daps,daps gric daps,unrelated,nonword,nonword/unrelated,gric
489, deno ,deno,no,nonword,nonword/no,deno
490, nole ,nole,no,nonword,nonword/no,nole
491,bain ceux bain,bain ceux bain,unrelated,word,word/unrelated,ceux
492, ifus ,ifus,no,nonword,nonword/no,ifus
493, foot ,foot,no,word,word/no,foot
494, folk ,folk,no,word,word/no,folk
495, dont ,dont,no,word,word/no,dont
496, fuir ,fuir,no,word,word/no,fuir
497, gaie ,gaie,no,word,word/no,gaie
498,cher agit cher,cher agit cher,unrelated,word,word/unrelated,agit
499, perc ,perc,no,nonword,nonword/no,perc
500,kilo bref kilo,kilo bref kilo,unrelated,word,word/unrelated,bref
501, golf ,golf,no,word,word/no,golf
502,ande brir ande,ande brir ande,unrelated,nonword,nonword/unrelated,brir
503,dent cool dent,dent cool dent,unrelated,word,word/unrelated,cool
504, dodo ,dodo,no,word,word/no,dodo
505,coin date coin,coin date coin,unrelated,word,word/unrelated,date
506,imin vore imin,imin vore imin,unrelated,nonword,nonword/unrelated,vore
507, rour ,rour,no,nonword,nonword/no,rour
508, fien ,fien,no,nonword,nonword/no,fien
509,mule mule mule,mule mule mule,related,word,word/related,mule
510,orge orge orge,orge orge orge,related,word,word/related,orge
511, huit ,huit,no,word,word/no,huit
512,thym aube thym,thym aube thym,unrelated,word,word/unrelated,aube
513,drie nouf drie,drie nouf drie,unrelated,nonword,nonword/unrelated,nouf
514,neuf neuf neuf,neuf neuf neuf,related,word,word/related,neuf
515,oser oser oser,oser oser oser,related,word,word/related,oser
516,noix noix noix,noix noix noix,related,word,word/related,noix
517, jour ,jour,no,word,word/no,jour
518,ibac ibac ibac,ibac ibac ibac,related,nonword,nonword/related,ibac
519,nire nire nire,nire nire nire,related,nonword,nonword/related,nire
520,paie brun paie,paie brun paie,unrelated,word,word/unrelated,brun
521, dure ,dure,no,word,word/no,dure
522,plar huif plar,plar huif plar,unrelated,nonword,nonword/unrelated,huif
523,tute tute tute,tute tute tute,related,nonword,nonword/related,tute
524,blai cude blai,blai cude blai,unrelated,nonword,nonword/unrelated,cude
525,zinc boue zinc,zinc boue zinc,unrelated,word,word/unrelated,boue
526, jure ,jure,no,word,word/no,jure
527, chen ,chen,no,nonword,nonword/no,chen
528,flur gose flur,flur gose flur,unrelated,nonword,nonword/unrelated,gose
529,oeuf oeuf oeuf,oeuf oeuf oeuf,related,word,word/related,oeuf
530,hier bout hier,hier bout hier,unrelated,word,word/unrelated,bout
531,yeux clip yeux,yeux clip yeux,unrelated,word,word/unrelated,clip
532, adre ,adre,no,nonword,nonword/no,adre
533,hien avas hien,hien avas hien,unrelated,nonword,nonword/unrelated,avas
534, diel ,diel,no,nonword,nonword/no,diel
535,jurf jurf jurf,jurf jurf jurf,related,nonword,nonword/related,jurf
536,oser camp oser,oser camp oser,unrelated,word,word/unrelated,camp
537,fler fler fler,fler fler fler,related,nonword,nonword/related,fler
538,duve duve duve,duve duve duve,related,nonword,nonword/related,duve
539, kaki ,kaki,no,word,word/no,kaki
540,banc demi banc,banc demi banc,unrelated,word,word/unrelated,demi
541,pile pile pile,pile pile pile,related,word,word/related,pile
542,pire pire pire,pire pire pire,related,word,word/related,pire
543, drir ,drir,no,nonword,nonword/no,drir
544,mise mise mise,mise mise mise,related,word,word/related,mise
545,rese rese rese,rese rese rese,related,nonword,nonword/related,rese
546, ilie ,ilie,no,nonword,nonword/no,ilie
547,flir flir flir,flir flir flir,related,nonword,nonword/related,flir
548, juif ,juif,no,word,word/no,juif
549,chut aide chut,chut aide chut,unrelated,word,word/unrelated,aide
550,oque oque oque,oque oque oque,related,nonword,nonword/related,oque
551,cure bain cure,cure bain cure,unrelated,word,word/unrelated,bain
552, arni ,arni,no,nonword,nonword/no,arni
553,jave jave jave,jave jave jave,related,nonword,nonword/related,jave
554,sage choc sage,sage choc sage,unrelated,word,word/unrelated,choc
555,plan plan plan,plan plan plan,related,word,word/related,plan
556, yope ,yope,no,nonword,nonword/no,yope
557,soin brut soin,soin brut soin,unrelated,word,word/unrelated,brut
558, donc ,donc,no,word,word/no,donc
559,flin flin flin,flin flin flin,related,nonword,nonword/related,flin
560,pupe pupe pupe,pupe pupe pupe,related,nonword,nonword/related,pupe
561,prix base prix,prix base prix,unrelated,word,word/unrelated,base
562, juci ,juci,no,nonword,nonword/no,juci
563, elle ,elle,no,word,word/no,elle
564,eige eige eige,eige eige eige,related,nonword,nonword/related,eige
565,paie paie paie,paie paie paie,related,word,word/related,paie
566,gine ocbo gine,gine ocbo gine,unrelated,nonword,nonword/unrelated,ocbo
567, info ,info,no,word,word/no,info
568,buge buge buge,buge buge buge,related,nonword,nonword/related,buge
569,bome bome bome,bome bome bome,related,nonword,nonword/related,bome
570, flic ,flic,no,word,word/no,flic
571,loin abat loin,loin abat loin,unrelated,word,word/unrelated,abat
572, four ,four,no,word,word/no,four
573, fini ,fini,no,word,word/no,fini
574,varc igne varc,varc igne varc,unrelated,nonword,nonword/unrelated,igne
575,blus jine blus,blus jine blus,unrelated,nonword,nonword/unrelated,jine
576, lave ,lave,no,word,word/no,lave
577,chud chud chud,chud chud chud,related,nonword,nonword/related,chud
578,saxo crie saxo,saxo crie saxo,unrelated,word,word/unrelated,crie
579,vour vour vour,vour vour vour,related,nonword,nonword/related,vour
580,bexe bexe bexe,bexe bexe bexe,related,nonword,nonword/related,bexe
581,mare mare mare,mare mare mare,related,word,word/related,mare
582, glur ,glur,no,nonword,nonword/no,glur
583,psub psub psub,psub psub psub,related,nonword,nonword/related,psub
584,loge loge loge,loge loge loge,related,word,word/related,loge
585,doce doce doce,doce doce doce,related,nonword,nonword/related,doce
586, kilo ,kilo,no,word,word/no,kilo
587,nord nord nord,nord nord nord,related,word,word/related,nord
588,naze naze naze,naze naze naze,related,word,word/related,naze
589,bobo cher bobo,bobo cher bobo,unrelated,word,word/unrelated,cher
590,mari mari mari,mari mari mari,related,word,word/related,mari
591,noir cage noir,noir cage noir,unrelated,word,word/unrelated,cage
592, fabe ,fabe,no,nonword,nonword/no,fabe
593,poif tese poif,poif tese poif,unrelated,nonword,nonword/unrelated,tese
594,muet muet muet,muet muet muet,related,word,word/related,muet
595,nier nier nier,nier nier nier,related,word,word/related,nier
596,poli crue poli,poli crue poli,unrelated,word,word/unrelated,crue
597, feux ,feux,no,word,word/no,feux
598,lien lien lien,lien lien lien,related,word,word/related,lien
599, hier ,hier,no,word,word/no,hier
600, rers ,rers,no,nonword,nonword/no,rers
601,fini code fini,fini code fini,unrelated,word,word/unrelated,code
602,ogne ogne ogne,ogne ogne ogne,related,nonword,nonword/related,ogne
603,paix paix paix,paix paix paix,related,word,word/related,paix
604, ivre ,ivre,no,word,word/no,ivre
605,gnis orve gnis,gnis orve gnis,unrelated,nonword,nonword/unrelated,orve
606,uque uque uque,uque uque uque,related,nonword,nonword/related,uque
607, juin ,juin,no,word,word/no,juin
608,nain nain nain,nain nain nain,related,word,word/related,nain
609,nage nage nage,nage nage nage,related,word,word/related,nage
610, bolk ,bolk,no,nonword,nonword/no,bolk
611, iers ,iers,no,nonword,nonword/no,iers
612,fuir dent fuir,fuir dent fuir,unrelated,word,word/unrelated,dent
613,cude nomb cude,cude nomb cude,unrelated,nonword,nonword/unrelated,nomb
614, vige ,vige,no,nonword,nonword/no,vige
615,vace stin vace,vace stin vace,unrelated,nonword,nonword/unrelated,stin
616,veur veur veur,veur veur veur,related,nonword,nonword/related,veur
617,mode mode mode,mode mode mode,related,word,word/related,mode
618, mexe ,mexe,no,nonword,nonword/no,mexe
619,tese cion tese,tese cion tese,unrelated,nonword,nonword/unrelated,cion
620,oble duis oble,oble duis oble,unrelated,nonword,nonword/unrelated,duis
621,brut amie brut,brut amie brut,unrelated,word,word/unrelated,amie
622,clir bame clir,clir bame clir,unrelated,nonword,nonword/unrelated,bame
623,cupe abir cupe,cupe abir cupe,unrelated,nonword,nonword/unrelated,abir
624, dose ,dose,no,word,word/no,dose
625,gnal moce gnal,gnal moce gnal,unrelated,nonword,nonword/unrelated,moce
626,olis vave olis,olis vave olis,unrelated,nonword,nonword/unrelated,vave
627,isar isar isar,isar isar isar,related,nonword,nonword/related,isar
628, imci ,imci,no,nonword,nonword/no,imci
629,face bobo face,face bobo face,unrelated,word,word/unrelated,bobo
630, flid ,flid,no,nonword,nonword/no,flid
631,port cube port,port cube port,unrelated,word,word/unrelated,cube
632,choc amer choc,choc amer choc,unrelated,word,word/unrelated,amer
633, grec ,grec,no,word,word/no,grec
634, fine ,fine,no,word,word/no,fine
635,tuis erle tuis,tuis erle tuis,unrelated,nonword,nonword/unrelated,erle
636,ouve ouve ouve,ouve ouve ouve,related,nonword,nonword/related,ouve
637,pipe pipe pipe,pipe pipe pipe,related,word,word/related,pipe
638,plat plat plat,plat plat plat,related,word,word/related,plat
639,paix chef paix,paix chef paix,unrelated,word,word/unrelated,chef
640,ilci spen ilci,ilci spen ilci,unrelated,nonword,nonword/unrelated,spen
641,mule agir mule,mule agir mule,unrelated,word,word/unrelated,agir
642, doit ,doit,no,word,word/no,doit
643,punk baie punk,punk baie punk,unrelated,word,word/unrelated,baie
644, adis ,adis,no,nonword,nonword/no,adis
645,paye club paye,paye club paye,unrelated,word,word/unrelated,club
646,auto bien auto,auto bien auto,unrelated,word,word/unrelated,bien
647,stin oche stin,stin oche stin,unrelated,nonword,nonword/unrelated,oche
648,groi groi groi,groi groi groi,related,nonword,nonword/related,groi
649,afmi afmi afmi,afmi afmi afmi,related,nonword,nonword/related,afmi
650, clec ,clec,no,nonword,nonword/no,clec
651,nomb vure nomb,nomb vure nomb,unrelated,nonword,nonword/unrelated,vure
652,luxe luxe luxe,luxe luxe luxe,related,word,word/related,luxe
653,mort mort mort,mort mort mort,related,word,word/related,mort
654,asos cuce asos,asos cuce asos,unrelated,nonword,nonword/unrelated,cuce
655,stue stue stue,stue stue stue,related,nonword,nonword/related,stue
656,noie noie noie,noie noie noie,related,word,word/related,noie
657, rane ,rane,no,nonword,nonword/no,rane
658,afer cins afer,afer cins afer,unrelated,nonword,nonword/unrelated,cins
659,bond aime bond,bond aime bond,unrelated,word,word/unrelated,aime
660,psue psue psue,psue psue psue,related,nonword,nonword/related,psue
661,doux cave doux,doux cave doux,unrelated,word,word/unrelated,cave
662, gang ,gang,no,word,word/no,gang
663, mato ,mato,no,nonword,nonword/no,mato
664, faut ,faut,no,word,word/no,faut
665, fier ,fier,no,word,word/no,fier
666,brir anue brir,brir anue brir,unrelated,nonword,nonword/unrelated,anue
667, fade ,fade,no,word,word/no,fade
668,puce abri puce,puce abri puce,unrelated,word,word/unrelated,abri
669, juge ,juge,no,word,word/no,juge
670, soge ,soge,no,nonword,nonword/no,soge
671,jour cape jour,jour cape jour,unrelated,word,word/unrelated,cape
672,mine coup mine,mine coup mine,unrelated,word,word/unrelated,coup
673, judo ,judo,no,word,word/no,judo
674, irai ,irai,no,word,word/no,irai
675,aser aser aser,aser aser aser,related,nonword,nonword/related,aser
676, expo ,expo,no,word,word/no,expo
677,scol gine scol,scol gine scol,unrelated,nonword,nonword/unrelated,gine
678,ster ster ster,ster ster ster,related,nonword,nonword/related,ster
679,dets dets dets,dets dets dets,related,nonword,nonword/related,dets
680,nobe nobe nobe,nobe nobe nobe,related,nonword,nonword/related,nobe
681,flie varc flie,flie varc flie,unrelated,nonword,nonword/unrelated,varc
682,dier dier dier,dier dier dier,related,nonword,nonword/related,dier
683,poge poge poge,poge poge poge,related,nonword,nonword/related,poge
684, jupe ,jupe,no,word,word/no,jupe
685,quai cerf quai,quai cerf quai,unrelated,word,word/unrelated,cerf
686,clan deux clan,clan deux clan,unrelated,word,word/unrelated,deux
687, jote ,jote,no,nonword,nonword/no,jote
688, dite ,dite,no,word,word/no,dite
689,pare cinq pare,pare cinq pare,unrelated,word,word/unrelated,cinq
690,gois gois gois,gois gois gois,related,nonword,nonword/related,gois
691,idue idue idue,idue idue idue,related,nonword,nonword/related,idue
692,onze onze onze,onze onze onze,related,word,word/related,onze
693,pras pras pras,pras pras pras,related,nonword,nonword/related,pras
694,loto loto loto,loto loto loto,related,word,word/related,loto
695,ucun ucun ucun,ucun ucun ucun,related,nonword,nonword/related,ucun
696,duis jage duis,duis jage duis,unrelated,nonword,nonword/unrelated,jage
697,chog lube chog,chog lube chog,unrelated,nonword,nonword/unrelated,lube
698,demi azur demi,demi azur demi,unrelated,word,word/unrelated,azur
699, flot ,flot,no,word,word/no,flot
700,huit clan huit,huit clan huit,unrelated,word,word/unrelated,clan
701,peur peur peur,peur peur peur,related,word,word/related,peur
702, vute ,vute,no,nonword,nonword/no,vute
703,loge cuir loge,loge cuir loge,unrelated,word,word/unrelated,cuir
704,hore hore hore,hore hore hore,related,nonword,nonword/related,hore
705, fuit ,fuit,no,word,word/no,fuit
706,luge luge luge,luge luge luge,related,word,word/related,luge
707,noir noir noir,noir noir noir,related,word,word/related,noir
708,pull cote pull,pull cote pull,unrelated,word,word/unrelated,cote
709,laid cent laid,laid cent laid,unrelated,word,word/unrelated,cent
710,midi midi midi,midi midi midi,related,word,word/related,midi
711,ravi boxe ravi,ravi boxe ravi,unrelated,word,word/unrelated,boxe
712, faim ,faim,no,word,word/no,faim
713,loup loup loup,loup loup loup,related,word,word/related,loup
714,dire banc dire,dire banc dire,unrelated,word,word/unrelated,banc
715,nerf nerf nerf,nerf nerf nerf,related,word,word/related,nerf
716,agne durc agne,agne durc agne,unrelated,nonword,nonword/unrelated,durc
717, flan ,flan,no,word,word/no,flan
718,four ciel four,four ciel four,unrelated,word,word/unrelated,ciel
719, arer ,arer,no,nonword,nonword/no,arer
720,leur leur leur,leur leur leur,related,word,word/related,leur
721, gant ,gant,no,word,word/no,gant
722,fope fope fope,fope fope fope,related,nonword,nonword/related,fope
723,chud jive chud,chud jive chud,unrelated,nonword,nonword/unrelated,jive
724, buin ,buin,no,nonword,nonword/no,buin
725,jude glac jude,jude glac jude,unrelated,nonword,nonword/unrelated,glac
726,sobe sobe sobe,sobe sobe sobe,related,nonword,nonword/related,sobe
727, foin ,foin,no,word,word/no,foin
728, gare ,gare,no,word,word/no,gare
729, stre ,stre,no,nonword,nonword/no,stre
730,cuse cuse cuse,cuse cuse cuse,related,nonword,nonword/related,cuse
731,foin arme foin,foin arme foin,unrelated,word,word/unrelated,arme
732,tose carc tose,tose carc tose,unrelated,nonword,nonword/unrelated,carc
733, fixe ,fixe,no,word,word/no,fixe
734,euve euve euve,euve euve euve,related,nonword,nonword/related,euve
735,alas muie alas,alas muie alas,unrelated,nonword,nonword/unrelated,muie
736,noce noce noce,noce noce noce,related,word,word/related,noce
737, irme ,irme,no,nonword,nonword/no,irme
738, ches ,ches,no,nonword,nonword/no,ches
739, joie ,joie,no,word,word/no,joie
740, cupe ,cupe,no,nonword,nonword/no,cupe
741,cres cres cres,cres cres cres,related,nonword,nonword/related,cres
742,mune mune mune,mune mune mune,related,nonword,nonword/related,mune
743,dide dide dide,dide dide dide,related,nonword,nonword/related,dide
744,muse muse muse,muse muse muse,related,word,word/related,muse
745,pied pied pied,pied pied pied,related,word,word/related,pied
746,grer grer grer,grer grer grer,related,nonword,nonword/related,grer
747,peut peut peut,peut peut peut,related,word,word/related,peut
748,vave gion vave,vave gion vave,unrelated,nonword,nonword/unrelated,gion
749,zour giel zour,zour giel zour,unrelated,nonword,nonword/unrelated,giel
750,ambe ambe ambe,ambe ambe ambe,related,nonword,nonword/related,ambe
751,bouc ange bouc,bouc ange bouc,unrelated,word,word/unrelated,ange
752, cien ,cien,no,nonword,nonword/no,cien
753,moue moue moue,moue moue moue,related,word,word/related,moue
754,pain pain pain,pain pain pain,related,word,word/related,pain
755, oute ,oute,no,nonword,nonword/no,oute
756,fuve drac fuve,fuve drac fuve,unrelated,nonword,nonword/unrelated,drac
757,abat ceci abat,abat ceci abat,unrelated,word,word/unrelated,ceci
758, foie ,foie,no,word,word/no,foie
759,pape pape pape,pape pape pape,related,word,word/related,pape
760, saze ,saze,no,nonword,nonword/no,saze
761,mont mont mont,mont mont mont,related,word,word/related,mont
762, plar ,plar,no,nonword,nonword/no,plar
763,gant bise gant,gant bise gant,unrelated,word,word/unrelated,bise
764,oral oral oral,oral oral oral,related,word,word/related,oral
765, dave ,dave,no,nonword,nonword/no,dave
766, duel ,duel,no,word,word/no,duel
767,amie bouc amie,amie bouc amie,unrelated,word,word/unrelated,bouc
768,tran puif tran,tran puif tran,unrelated,nonword,nonword/unrelated,puif
769, cing ,cing,no,nonword,nonword/no,cing
770,arve arve arve,arve arve arve,related,nonword,nonword/related,arve
771,abir tuce abir,abir tuce abir,unrelated,nonword,nonword/unrelated,tuce
772,race boit race,race boit race,unrelated,word,word/unrelated,boit
773, doux ,doux,no,word,word/no,doux
774,aive aive aive,aive aive aive,related,nonword,nonword/related,aive
775,apin bres apin,apin bres apin,unrelated,nonword,nonword/unrelated,bres
776, faux ,faux,no,word,word/no,faux
777,dade dade dade,dade dade dade,related,nonword,nonword/related,dade
778, gage ,gage,no,word,word/no,gage
779,insi insi insi,insi insi insi,related,nonword,nonword/related,insi
780, sige ,sige,no,nonword,nonword/no,sige
781,lire lire lire,lire lire lire,related,word,word/related,lire
782,fier chat fier,fier chat fier,unrelated,word,word/unrelated,chat
783, eaux ,eaux,no,word,word/no,eaux
784, uite ,uite,no,nonword,nonword/no,uite
785,ince ince ince,ince ince ince,related,nonword,nonword/related,ince
786, face ,face,no,word,word/no,face
787, humi ,humi,no,nonword,nonword/no,humi
788, olis ,olis,no,nonword,nonword/no,olis
789, lard ,lard,no,word,word/no,lard
790,pluc pluc pluc,pluc pluc pluc,related,nonword,nonword/related,pluc
791,reur reur reur,reur reur reur,related,nonword,nonword/related,reur
792, exil ,exil,no,word,word/no,exil
793, coge ,coge,no,nonword,nonword/no,coge
794, ilas ,ilas,no,nonword,nonword/no,ilas
795,page bloc page,page bloc page,unrelated,word,word/unrelated,bloc
796,caie zors caie,caie zors caie,unrelated,nonword,nonword/unrelated,zors
797, drap ,drap,no,word,word/no,drap
798,ofin daps ofin,ofin daps ofin,unrelated,nonword,nonword/unrelated,daps
799,roge roge roge,roge roge roge,related,nonword,nonword/related,roge
800,stas hime stas,stas hime stas,unrelated,nonword,nonword/unrelated,hime
801, dune ,dune,no,word,word/no,dune
802, vets ,vets,no,nonword,nonword/no,vets
803,mien mien mien,mien mien mien,related,word,word/related,mien
804,nuce nuce nuce,nuce nuce nuce,related,nonword,nonword/related,nuce
805,alir poxe alir,alir poxe alir,unrelated,nonword,nonword/unrelated,poxe
806,poil poil poil,poil poil poil,related,word,word/related,poil
807,hade scol hade,hade scol hade,unrelated,nonword,nonword/unrelated,scol
808,suel suel suel,suel suel suel,related,nonword,nonword/related,suel
809,pion pion pion,pion pion pion,related,word,word/related,pion
810,mave loui mave,mave loui mave,unrelated,nonword,nonword/unrelated,loui
811, chir ,chir,no,nonword,nonword/no,chir
812,glin glin glin,glin glin glin,related,nonword,nonword/related,glin
813,lisi lisi lisi,lisi lisi lisi,related,nonword,nonword/related,lisi
814,onde onde onde,onde onde onde,related,word,word/related,onde
815,pras nile pras,pras nile pras,unrelated,nonword,nonword/unrelated,nile
816,logo logo logo,logo logo logo,related,word,word/related,logo
817,muis boge muis,muis boge muis,unrelated,nonword,nonword/unrelated,boge
818, vare ,vare,no,nonword,nonword/no,vare
819, uits ,uits,no,nonword,nonword/no,uits
820, jeux ,jeux,no,word,word/no,jeux
821,lune lune lune,lune lune lune,related,word,word/related,lune
822, fort ,fort,no,word,word/no,fort
823,viol dame viol,viol dame viol,unrelated,word,word/unrelated,dame
824, vonc ,vonc,no,nonword,nonword/no,vonc
825, idem ,idem,no,word,word/no,idem
826, apin ,apin,no,nonword,nonword/no,apin
827,acle psin acle,acle psin acle,unrelated,nonword,nonword/unrelated,psin
828, gerf ,gerf,no,nonword,nonword/no,gerf
829,zour zour zour,zour zour zour,related,nonword,nonword/related,zour
830,lion lion lion,lion lion lion,related,word,word/related,lion
831,lier lier lier,lier lier lier,related,word,word/related,lier
832,murf caie murf,murf caie murf,unrelated,nonword,nonword/unrelated,caie
833,bexe noil bexe,bexe noil bexe,unrelated,nonword,nonword/unrelated,noil
834,buin afer buin,buin afer buin,unrelated,nonword,nonword/unrelated,afer
835, vece ,vece,no,nonword,nonword/no,vece
836,agir clef agir,agir clef agir,unrelated,word,word/unrelated,clef
837, film ,film,no,word,word/no,film
838,oeil oeil oeil,oeil oeil oeil,related,word,word/related,oeil
839,loto cire loto,loto cire loto,unrelated,word,word/unrelated,cire
840, huer ,huer,no,word,word/no,huer
841, fait ,fait,no,word,word/no,fait
842,pare pare pare,pare pare pare,related,word,word/related,pare
843, joue ,joue,no,word,word/no,joue
844,ment ment ment,ment ment ment,related,word,word/related,ment
845, joli ,joli,no,word,word/no,joli
846, hien ,hien,no,nonword,nonword/no,hien
847,sont dire sont,sont dire sont,unrelated,word,word/unrelated,dire
848,crue bond crue,crue bond crue,unrelated,word,word/unrelated,bond
849,mine mine mine,mine mine mine,related,word,word/related,mine
850, hall ,hall,no,word,word/no,hall
851,vrec vrec vrec,vrec vrec vrec,related,nonword,nonword/related,vrec
852, haie ,haie,no,word,word/no,haie
853,lent lent lent,lent lent lent,related,word,word/related,lent
854,rans rans rans,rans rans rans,related,nonword,nonword/related,rans
855,fonc sabe fonc,fonc sabe fonc,unrelated,nonword,nonword/unrelated,sabe
856,spon imer spon,spon imer spon,unrelated,nonword,nonword/unrelated,imer
857, uter ,uter,no,nonword,nonword/no,uter
858,muni muni muni,muni muni muni,related,word,word/related,muni
859,part part part,part part part,related,word,word/related,part
860,fond avec fond,fond avec fond,unrelated,word,word/unrelated,avec
861,jouc berf jouc,jouc berf jouc,unrelated,nonword,nonword/unrelated,berf
862,guir tyle guir,guir tyle guir,unrelated,nonword,nonword/unrelated,tyle
863,plie chut plie,plie chut plie,unrelated,word,word/unrelated,chut
864,phol guve phol,phol guve phol,unrelated,nonword,nonword/unrelated,guve
865,orir uste orir,orir uste orir,unrelated,nonword,nonword/unrelated,uste
866, sper ,sper,no,nonword,nonword/no,sper
867,maxi maxi maxi,maxi maxi maxi,related,word,word/related,maxi
868,pipi pipi pipi,pipi pipi pipi,related,word,word/related,pipi
869,rici olde rici,rici olde rici,unrelated,nonword,nonword/unrelated,olde
870,tion tion tion,tion tion tion,related,nonword,nonword/related,tion
871,coci ande coci,coci ande coci,unrelated,nonword,nonword/unrelated,ande
872, cofi ,cofi,no,nonword,nonword/no,cofi
873, arne ,arne,no,nonword,nonword/no,arne
874, boui ,boui,no,nonword,nonword/no,boui
875, jury ,jury,no,word,word/no,jury
876,cinq apte cinq,cinq apte cinq,unrelated,word,word/unrelated,apte
877,vour itie vour,vour itie vour,unrelated,nonword,nonword/unrelated,itie
878,inge inge inge,inge inge inge,related,nonword,nonword/related,inge
879,rici rici rici,rici rici rici,related,nonword,nonword/related,rici
880, didi ,didi,no,nonword,nonword/no,didi
881,ogre ogre ogre,ogre ogre ogre,related,word,word/related,ogre
882,clar sube clar,clar sube clar,unrelated,nonword,nonword/unrelated,sube
883, bube ,bube,no,nonword,nonword/no,bube
884,onde cuit onde,onde cuit onde,unrelated,word,word/unrelated,cuit
885, dort ,dort,no,word,word/no,dort
886,parc parc parc,parc parc parc,related,word,word/related,parc
887,ocbo uise ocbo,ocbo uise ocbo,unrelated,nonword,nonword/unrelated,uise
888,cing veul cing,cing veul cing,unrelated,nonword,nonword/unrelated,veul
889,lynx lynx lynx,lynx lynx lynx,related,word,word/related,lynx
890,spon spon spon,spon spon spon,related,nonword,nonword/related,spon
891,rare coin rare,rare coin rare,unrelated,word,word/unrelated,coin
892,moto cuve moto,moto cuve moto,unrelated,word,word/unrelated,cuve
893,lage lage lage,lage lage lage,related,nonword,nonword/related,lage
894, rone ,rone,no,nonword,nonword/no,rone
895, gain ,gain,no,word,word/no,gain
896,pion cure pion,pion cure pion,unrelated,word,word/unrelated,cure
897,perd perd perd,perd perd perd,related,word,word/related,perd
898, fond ,fond,no,word,word/no,fond
899,chol fave chol,chol fave chol,unrelated,nonword,nonword/unrelated,fave
900,uave soti uave,uave soti uave,unrelated,nonword,nonword/unrelated,soti
901,ponc ponc ponc,ponc ponc ponc,related,nonword,nonword/related,ponc
902, clir ,clir,no,nonword,nonword/no,clir
903, lait ,lait,no,word,word/no,lait
904, iser ,iser,no,nonword,nonword/no,iser
905,lers moif lers,lers moif lers,unrelated,nonword,nonword/unrelated,moif
906,dige dige dige,dige dige dige,related,nonword,nonword/related,dige
907, geuf ,geuf,no,nonword,nonword/no,geuf
908,ocre ocre ocre,ocre ocre ocre,related,word,word/related,ocre
909, acle ,acle,no,nonword,nonword/no,acle
910,oile oile oile,oile oile oile,related,nonword,nonword/related,oile
911, nour ,nour,no,nonword,nonword/no,nour
912, iage ,iage,no,nonword,nonword/no,iage
913,star bile star,star bile star,unrelated,word,word/unrelated,bile
914,pape cour pape,pape cour pape,unrelated,word,word/unrelated,cour
915,amal rine amal,amal rine amal,unrelated,nonword,nonword/unrelated,rine
916,rire cash rire,rire cash rire,unrelated,word,word/unrelated,cash
917,loin loin loin,loin loin loin,related,word,word/related,loin
918,ange chic ange,ange chic ange,unrelated,word,word/unrelated,chic
919,poce poce poce,poce poce poce,related,nonword,nonword/related,poce
920,lire auto lire,lire auto lire,unrelated,word,word/unrelated,auto
921,cuif bral cuif,cuif bral cuif,unrelated,nonword,nonword/unrelated,bral
922,mime mime mime,mime mime mime,related,word,word/related,mime
923,page page page,page page page,related,word,word/related,page
924, flux ,flux,no,word,word/no,flux
925,long long long,long long long,related,word,word/related,long
926,uage uage uage,uage uage uage,related,nonword,nonword/related,uage
927,misi onue misi,misi onue misi,unrelated,nonword,nonword/unrelated,onue
928,rinc rinc rinc,rinc rinc rinc,related,nonword,nonword/related,rinc
929, font ,font,no,word,word/no,font
930, ucre ,ucre,no,nonword,nonword/no,ucre
931,fave posi fave,fave posi fave,unrelated,nonword,nonword/unrelated,posi
932,cote brin cote,cote brin cote,unrelated,word,word/unrelated,brin
933,note note note,note note note,related,word,word/related,note
934, grue ,grue,no,word,word/no,grue
935,orie orie orie,orie orie orie,related,nonword,nonword/related,orie
936,miel miel miel,miel miel miel,related,word,word/related,miel
937, laid ,laid,no,word,word/no,laid
938,nuit nuit nuit,nuit nuit nuit,related,word,word/related,nuit
939,paye paye paye,paye paye paye,related,word,word/related,paye
940,ique ique ique,ique ique ique,related,nonword,nonword/related,ique
941,moto moto moto,moto moto moto,related,word,word/related,moto
942, gami ,gami,no,nonword,nonword/no,gami
943,hade hade hade,hade hade hade,related,nonword,nonword/related,hade
944, labo ,labo,no,word,word/no,labo
945, orir ,orir,no,nonword,nonword/no,orir
946, muis ,muis,no,nonword,nonword/no,muis
947, spel ,spel,no,nonword,nonword/no,spel
948,neuf bail neuf,neuf bail neuf,unrelated,word,word/unrelated,bail
